id,nom,sexe,région,âge,culture
171,Maty Camara,F,Thiès,34,sésame
172,Sidy Balde,M,Fatick,60,sésame
173,Lamine Fall,M,Diourbel,59,arachide
174,Mamadou Ndiaye Ndoye,M,Tambacounda,56,riz
175,Babacar Toure,M,Ziguinchor,34,coton
176,Adama Sarr,F,Fatick,25,légumes
177,Ibrahima Camara,M,Fatick,35,haricot
178,El Hadji Diallo,M,Tivaouane,20,coton
179,El Hadji Gassama,M,Kaolack,18,manioc
180,helene Diagne,F,Dakar,40,coton
181,Bineta Bamba,F,Saint-Louis,28,patate douce
182,Maty Thiam,F,Saint-Louis,50,mais
183,Adama Kouyaté,F,Saint-Louis,28,patate douce
184,Coumba Ndoye,F,Diourbel,18,igname
185,Mamadou Diop Diallo,M,Kaolack,62,fruits
186,Modou Kouyaté,M,Mbour,64,sésame
187,Coumba Kouyaté,F,Ziguinchor,52,mais
188,Aminata Balde,F,Mbour,21,haricot
189,Khady Keita,F,Dakar,42,haricot
190,Bineta Ndoye,F,Saint-Louis,45,coton
191,helene Barry,F,Mbour,62,mil
192,Mamadou Ndiaye Ndiaye,M,Mbour,24,patate douce
193,Mamadou Diop Diop,M,Tambacounda,34,igname
194,Seynabou Fall,F,Kolda,20,haricot
195,Adama Kane,F,Dakar,51,haricot
196,Mamadou Sow Traoré,M,Dakar,25,haricot
197,Modou Gassama,M,Tivaouane,37,coton
198,Fatou Sall,F,Tivaouane,65,haricot
199,Mamadou Ndiaye Sow,M,Kaolack,27,fruits
200,Khady Sow,F,Sédhiou,60,fruits
201,helene Dieng,F,Saint-Louis,53,coton
202,Ndeye Traoré,F,Mbour,34,légumes
203,Fatou Koulibaly,F,Thiès,65,arachide
204,Mamadou Sow Diallo,M,Tivaouane,38,sésame
205,Aissatou Diallo,F,Tivaouane,42,coton
206,Adama Koulibaly,F,Sédhiou,46,fruits
207,Bineta Senghor,F,Saint-Louis,50,arachide
208,helene Sow,F,Ziguinchor,20,riz
209,Mamadou Diop Gassama,M,Tambacounda,29,autres
210,Moussa Sow,M,Louga,53,haricot
211,Bineta Kouyaté,F,Thiès,40,patate douce
212,Khady Senghor,F,Kolda,62,mil
213,Bineta Sow,F,Ziguinchor,27,igname
214,Aissatou Sow,F,Saint-Louis,19,mil
215,Coumba Keita,F,Kolda,19,coton
216,Ibrahima Sall,M,Kolda,43,arachide
217,Ousmane Sall,M,Dakar,23,fruits
218,Bineta Sall,F,Sédhiou,54,légumes
219,Maty Kouyaté,F,Kolda,26,manioc
220,Modou Diallo,M,Thiès,58,arachide
221,El Hadji Dabo,M,Tambacounda,33,coton
222,Mamadou Diop Balde,M,Thiès,22,légumes
223,Mamadou Ndiaye Fofana,M,Tambacounda,54,mais
224,Ousmane Senghor,M,Saint-Louis,26,mil
225,Rokhaya Gassama,F,Fatick,62,mil
226,Lamine Keita,M,Thiès,42,mil
227,Ndeye Koulibaly,F,Tambacounda,39,fruits
228,Mamadou Diop Sarr,M,Dakar,33,manioc
229,Coumba Traoré,F,Mbour,51,fruits
230,Ousmane Sall,M,Ziguinchor,27,mil
231,Modou Kane,M,Tivaouane,24,haricot
232,Coumba Diop,F,Tivaouane,39,légumes
233,Abdoulaye Kane,M,Matam,23,arachide
234,Mariama Cissé,F,Matam,60,manioc
235,Ousmane Gassama,M,Kaolack,20,manioc
236,Moussa Sy,M,Louga,26,fruits
237,Coumba Cissé,F,Fatick,47,riz
238,Cheikh Ndoye,M,Kaolack,35,riz
239,Coumba Traoré,F,Matam,54,sésame
240,El Hadji Diagne,M,Thiès,21,mil
241,Maty Gassama,F,Thiès,56,manioc
242,Mamadou Sarr Koulibaly,M,Matam,43,mais
243,Fatou Ndiaye,F,Matam,26,arachide
244,Mamadou Ndiaye Toure,M,Tambacounda,33,patate douce
245,Babacar Camara,M,Louga,62,arachide
246,Maty Kane,F,Matam,54,patate douce
247,Sidy Cissé,M,Sédhiou,57,arachide
248,Mamadou Ndiaye Barry,M,Thiès,28,haricot
249,Seynabou Balde,F,Fatick,56,patate douce
250,Mariama Diagne,F,Fatick,48,sésame
251,Ibrahima Sall,M,Louga,51,riz
252,Mamadou Sarr Fall,M,Matam,45,mais
253,Ibrahima Sow,M,Kaolack,34,arachide
254,Bineta Ndiaye,F,Sédhiou,65,haricot
255,Maty Kane,F,Fatick,45,coton
256,El Hadji Ndiaye,M,Thiès,48,arachide
257,helene Keita,F,Kolda,19,haricot
258,Moussa Dabo,M,Mbour,44,riz
259,Ndeye Ndiaye,F,Tivaouane,43,manioc
260,El Hadji Diallo,M,Diourbel,22,mais
261,Mamadou Boubacar Fofana,M,Fatick,41,autres
262,Rokhaya Camara,F,Louga,26,coton
263,Ousmane Ndiaye,M,Tambacounda,42,mais
264,Fatou Dabo,F,Thiès,31,légumes
265,Pape Diouf,M,Thiès,25,légumes
266,Ndeye Dieng,F,Saint-Louis,61,manioc
267,El Hadji Koulibaly,M,Thiès,40,sésame
268,Mamadou Sow Toure,M,Thiès,43,haricot
269,Ibrahima Ndiaye,M,Diourbel,28,autres
270,Khady Bamba,F,Kolda,25,igname
271,Modou Diop,M,Mbour,21,sésame
272,Mamadou Ndiaye Ba,M,Diourbel,30,mil
273,Bineta Toure,F,Thiès,63,patate douce
274,Coumba Diouf,F,Fatick,49,manioc
275,Mamadou Ndiaye Koulibaly,M,Louga,53,igname
276,Sidy Gassama,M,Thiès,25,mil
277,helene Ndoye,F,Ziguinchor,31,mais
278,Mamadou Ndiaye Camara,M,Matam,30,manioc
279,El Hadji Sy,M,Kaolack,58,mil
280,Coumba Faye,F,Mbour,27,sésame
281,Khady Gassama,F,Ziguinchor,49,arachide
282,Fatou Toure,F,Matam,55,autres
283,Mamadou Boubacar Dabo,M,Matam,45,coton
284,Mamadou Ndiaye Ba,M,Tambacounda,23,coton
285,Mamadou Sarr Thiam,M,Diourbel,25,riz
286,Mamadou Boubacar Sow,M,Saint-Louis,20,arachide
287,Rokhaya Faye,F,Louga,54,mil
288,Adama Gueye,F,Ziguinchor,46,manioc
289,Lamine Senghor,M,Kolda,52,mais
290,Babacar Fall,M,Thiès,32,arachide
291,Moussa Dieng,M,Mbour,40,igname
292,Cheikh Sow,M,Fatick,31,légumes
293,Mariama Sall,F,Saint-Louis,61,riz
294,Rokhaya Diouf,F,Ziguinchor,32,mil
295,Cheikh Camara,M,Mbour,28,fruits
296,Adama Diallo,F,Saint-Louis,38,autres
297,Fatou Cissé,F,Diourbel,20,fruits
298,Mamadou Diop Gueye,M,Fatick,54,sésame
299,Mamadou Diop Ndoye,M,Dakar,65,arachide
300,Aminata Sall,F,Diourbel,54,coton
301,Fatou Dabo,F,Mbour,57,mil
302,Rokhaya Diouf,F,Matam,34,haricot
303,Fatou Senghor,F,Sédhiou,60,légumes
304,Babacar Cissé,M,Kolda,62,mil
305,Mamadou Boubacar Toure,M,Tambacounda,35,igname
306,Rokhaya Senghor,F,Tivaouane,65,fruits
307,Mamadou Boubacar Diallo,M,Diourbel,27,riz
308,Coumba Bamba,F,Mbour,43,igname
309,Maty Senghor,F,Diourbel,48,patate douce
310,Rokhaya Sow,F,Ziguinchor,58,haricot
311,Fatou Diagne,F,Sédhiou,32,fruits
312,Coumba Toure,F,Diourbel,54,sésame
313,Adama Sall,F,Saint-Louis,64,riz
314,Fatou Faye,F,Tivaouane,27,manioc
315,Mamadou Ndiaye Sall,M,Thiès,35,arachide
316,Mamadou Ndiaye Ndoye,M,Matam,29,arachide
317,Khady Dieng,F,Dakar,29,mais
318,Aissatou Balde,F,Tivaouane,19,fruits
319,Mamadou Fall,M,Thiès,24,riz
320,Seynabou Dabo,F,Mbour,19,coton
321,Bineta Thiam,F,Diourbel,59,légumes
322,Mamadou Boubacar Gassama,M,Tambacounda,41,mil
323,Adama Gueye,F,Matam,27,arachide
324,Rokhaya Diallo,F,Kaolack,62,riz
325,Seynabou Sow,F,Mbour,34,autres
326,Mamadou Boubacar Ba,M,Thiès,41,sésame
327,Sidy Balde,M,Matam,41,légumes
328,Ibrahima Diop,M,Dakar,33,patate douce
329,Ibrahima Traoré,M,Saint-Louis,39,fruits
330,Mamadou Boubacar Kane,M,Thiès,42,autres
331,Seynabou Sow,F,Dakar,27,fruits
332,Ibrahima Faye,M,Kolda,48,arachide
333,Adama Dieng,F,Kaolack,19,mil
334,Abdoulaye Cissé,M,Mbour,55,légumes
335,Fatou Gassama,F,Ziguinchor,25,haricot
336,Seynabou Gassama,F,Mbour,54,patate douce
337,El Hadji Koulibaly,M,Kolda,23,haricot
338,Bineta Ba,F,Kaolack,64,mil
339,Maty Sarr,F,Matam,63,riz
340,Mamadou Lamine Kouyaté,M,Kolda,63,riz
341,Mamadou Sarr Bamba,M,Tivaouane,64,sésame
342,Adama Kouyaté,F,Tivaouane,31,autres
343,Mamadou Dieng,M,Diourbel,41,mil
344,Modou Camara,M,Matam,58,arachide
345,El Hadji Dieng,M,Tambacounda,51,riz
346,Modou Diop,M,Dakar,40,arachide
347,Adama Faye,F,Fatick,32,manioc
348,Mariama Diop,F,Thiès,44,riz
349,Rokhaya Ndoye,F,Ziguinchor,43,riz
350,Lamine Sarr,M,Saint-Louis,59,patate douce
351,Pape Ba,M,Tivaouane,39,mil
352,El Hadji Diallo,M,Dakar,31,patate douce
353,Mamadou Sow Senghor,M,Diourbel,51,autres
354,Aissatou Sow,F,Diourbel,44,haricot
355,Mamadou Diop Camara,M,Diourbel,47,légumes
356,Mariama Sall,F,Louga,59,coton
357,Seynabou Camara,F,Sédhiou,37,autres
358,Mamadou Sarr Ndiaye,M,Thiès,33,autres
359,Aminata Kane,F,Tambacounda,44,fruits
360,Mamadou Lamine Sarr,M,Sédhiou,27,sésame
361,Sidy Faye,M,Louga,25,manioc
362,El Hadji Keita,M,Diourbel,40,coton
363,Fatou Kouyaté,F,Tambacounda,49,manioc
364,Mariama Camara,F,Fatick,59,manioc
365,Mamadou Faye Camara,M,Diourbel,62,haricot
366,Mamadou Ndiaye Kouyaté,M,Sédhiou,21,autres
367,Mamadou Lamine Kane,M,Louga,24,mil
368,Aminata Gueye,F,Diourbel,33,autres
369,Mamadou Sow Keita,M,Kolda,26,mais
370,Pape Cissé,M,Tambacounda,29,mil
371,Cheikh Koulibaly,M,Louga,43,igname
372,Ousmane Gassama,M,Sédhiou,55,haricot
373,Babacar Traoré,M,Ziguinchor,37,autres
374,Lamine Camara,M,Fatick,47,manioc
375,Mamadou Ndiaye Diop,M,Kaolack,46,manioc
376,Modou Cissé,M,Louga,38,coton
377,Sidy Diakhate,M,Ziguinchor,24,riz
378,Ndeye Sy,F,Fatick,18,arachide
379,Adama Sarr,F,Ziguinchor,21,sésame
380,Ousmane Keita,M,Louga,43,mais
381,Pape Thiam,M,Saint-Louis,56,coton
382,Mamadou Lamine Senghor,M,Mbour,43,haricot
383,Coumba Gassama,F,Thiès,47,fruits
384,Rokhaya Diouf,F,Tambacounda,53,riz
385,Mariama Sow,F,Mbour,44,haricot
386,Bineta Diouf,F,Matam,65,sésame
387,Khady Sow,F,Saint-Louis,34,coton
388,Seynabou Dieng,F,Saint-Louis,49,igname
389,Ousmane Ba,M,Kolda,52,manioc
390,Seynabou Sy,F,Saint-Louis,23,coton
391,Fatou Toure,F,Matam,38,coton
392,Ibrahima Fofana,M,Sédhiou,58,arachide
393,Babacar Bamba,M,Diourbel,52,mil
394,Aissatou Kouyaté,F,Kaolack,56,légumes
395,Sidy Balde,M,Kolda,29,igname
396,Khady Ba,F,Matam,60,mil
397,Sidy Traoré,M,Dakar,44,mais
398,El Hadji Camara,M,Thiès,23,légumes
399,Bineta Keita,F,Dakar,39,haricot
400,Maty Kouyaté,F,Ziguinchor,39,haricot
401,Mamadou Ndiaye Barry,M,Kaolack,56,sésame
402,Lamine Diallo,M,Louga,38,patate douce
403,Bineta Senghor,F,Diourbel,30,mais
404,Bineta Sow,F,Sédhiou,32,autres
405,Rokhaya Keita,F,Kaolack,34,mais
406,Pape Gassama,M,Thiès,62,fruits
407,Mamadou Sow Diallo,M,Kaolack,51,patate douce
408,Moussa Gueye,M,Kolda,32,igname
409,Ibrahima Traoré,M,Sédhiou,29,fruits
410,Bineta Camara,F,Saint-Louis,35,haricot
411,Cheikh Senghor,M,Kaolack,50,patate douce
412,Lamine Diakhate,M,Kolda,40,haricot
413,Ibrahima Traoré,M,Louga,31,fruits
414,Rokhaya Fofana,F,Matam,28,riz
415,Mamadou Gueye,M,Sédhiou,37,arachide
416,Moussa Keita,M,Kaolack,40,fruits
417,Babacar Dabo,M,Thiès,32,patate douce
418,Seynabou Diagne,F,Saint-Louis,32,autres
419,Ndeye Toure,F,Kaolack,36,sésame
420,Rokhaya Sarr,F,Ziguinchor,57,fruits
421,Ndeye Dabo,F,Diourbel,34,riz
422,Mamadou Sarr Traoré,M,Thiès,65,mil
423,Lamine Senghor,M,Dakar,43,riz
424,Mamadou Ndiaye Barry,M,Dakar,31,riz
425,Ousmane Cissé,M,Louga,18,manioc
426,Khady Camara,F,Diourbel,58,légumes
427,Rokhaya Diouf,F,Tambacounda,46,riz
428,Aminata Diallo,F,Louga,46,patate douce
429,Rokhaya Faye,F,Matam,22,riz
430,Mamadou Koulibaly,M,Fatick,21,haricot
431,helene Barry,F,Dakar,37,haricot
432,Aissatou Faye,F,Mbour,30,igname
433,Pape Cissé,M,Thiès,26,riz
434,Abdoulaye Thiam,M,Mbour,24,haricot
435,Mamadou Sow Diouf,M,Mbour,28,mais
436,Mariama Kouyaté,F,Sédhiou,34,arachide
437,Cheikh Diagne,M,Sédhiou,28,coton
438,Coumba Diallo,F,Kaolack,28,arachide
439,Sidy Ndoye,M,Fatick,18,légumes
440,Khady Diakhate,F,Mbour,34,légumes
441,Mamadou Lamine Camara,M,Kaolack,36,haricot
442,Babacar Balde,M,Thiès,32,autres
443,Adama Sow,F,Tivaouane,22,riz
444,Aminata Sow,F,Tivaouane,20,patate douce
445,Abdoulaye Diallo,M,Louga,61,légumes
446,Ibrahima Faye,M,Fatick,26,manioc
447,Mamadou Ndiaye Sy,M,Dakar,44,riz
448,Fatou Gueye,F,Sédhiou,59,manioc
449,Adama Bamba,F,Mbour,48,riz
450,Ibrahima Thiam,M,Thiès,30,sésame
451,Adama Diakhate,F,Ziguinchor,43,légumes
452,Fatou Ba,F,Kaolack,57,igname
453,El Hadji Balde,M,Kolda,37,riz
454,Mamadou Ndiaye Balde,M,Matam,40,igname
455,Aminata Diagne,F,Sédhiou,54,haricot
456,Ndeye Sow,F,Louga,18,sésame
457,Adama Dieng,F,Tambacounda,63,mais
458,Mamadou Ndiaye Dieng,M,Dakar,49,mil
459,Babacar Balde,M,Diourbel,45,fruits
460,Khady Sy,F,Ziguinchor,55,légumes
461,Ndeye Sarr,F,Tambacounda,20,fruits
462,Moussa Fofana,M,Thiès,45,fruits
463,Ousmane Diallo,M,Tambacounda,19,mais
464,Abdoulaye Camara,M,Kolda,29,patate douce
465,Mamadou Sarr Gueye,M,Sédhiou,50,légumes
466,Coumba Diouf,F,Sédhiou,22,sésame
467,Ousmane Traoré,M,Mbour,24,autres
468,Abdoulaye Dabo,M,Sédhiou,37,coton
469,Mamadou Boubacar Camara,M,Kolda,50,autres
470,Ousmane Barry,M,Mbour,51,sésame
471,Mariama Dabo,F,Tivaouane,19,sésame
472,Bineta Diouf,F,Dakar,36,mais
473,Adama Diallo,F,Kolda,22,coton
474,Moussa Sy,M,Ziguinchor,21,coton
475,Ndeye Dieng,F,Saint-Louis,25,mil
476,Mamadou Faye Thiam,M,Diourbel,61,mil
477,Aissatou Barry,F,Kaolack,19,manioc
478,Ndeye Sow,F,Matam,20,manioc
479,Rokhaya Sarr,F,Mbour,19,arachide
480,Aissatou Ndoye,F,Dakar,29,arachide
481,Khady Sy,F,Saint-Louis,54,fruits
482,Aissatou Sow,F,Thiès,18,haricot
483,Fatou Senghor,F,Kolda,53,légumes
484,Seynabou Gassama,F,Thiès,47,autres
485,Abdoulaye Fall,M,Louga,56,mil
486,Khady Gueye,F,Fatick,34,patate douce
487,Seynabou Dabo,F,Kaolack,39,autres
488,Mamadou Diop Kane,M,Tivaouane,38,coton
489,Bineta Diouf,F,Mbour,49,haricot
490,Khady Gueye,F,Saint-Louis,56,mais
491,Ousmane Camara,M,Thiès,36,autres
492,Ousmane Senghor,M,Louga,29,mais
493,Ndeye Barry,F,Mbour,58,mil
494,Pape Thiam,M,Tivaouane,23,igname
495,Ousmane Diakhate,M,Diourbel,30,fruits
496,Khady Bamba,F,Sédhiou,44,coton
497,Aissatou Sarr,F,Matam,24,fruits
498,Ndeye Senghor,F,Tambacounda,48,riz
499,Rokhaya Fofana,F,Kolda,43,légumes
500,Mamadou Faye Bamba,M,Ziguinchor,29,mais
501,helene Traoré,F,Matam,21,riz
502,Rokhaya Sy,F,Mbour,24,fruits
503,Pape Ba,M,Sédhiou,35,fruits
504,El Hadji Sarr,M,Dakar,23,mais
505,Ibrahima Diallo,M,Dakar,33,mil
506,Coumba Koulibaly,F,Mbour,60,mil
507,Ousmane Kouyaté,M,Ziguinchor,49,coton
508,Mamadou Ndiaye Ndiaye,M,Fatick,47,légumes
509,Fatou Cissé,F,Ziguinchor,47,fruits
510,Abdoulaye Sy,M,Matam,23,riz
511,Khady Senghor,F,Kolda,42,coton
512,Lamine Kane,M,Diourbel,37,autres
513,helene Toure,F,Ziguinchor,24,manioc
514,Mamadou Sow Ba,M,Kolda,36,fruits
515,Mariama Dieng,F,Ziguinchor,62,mil
516,Seynabou Kane,F,Tivaouane,18,riz
517,Rokhaya Fall,F,Tambacounda,51,sésame
518,Fatou Toure,F,Louga,60,sésame
519,Bineta Barry,F,Ziguinchor,32,fruits
520,Mamadou Kane,M,Thiès,39,riz
521,Khady Sy,F,Kolda,53,fruits
522,Seynabou Kane,F,Tambacounda,57,haricot
523,Mamadou Diop Barry,M,Louga,63,mais
524,Babacar Sow,M,Dakar,42,légumes
525,Aissatou Cissé,F,Tambacounda,28,autres
526,Maty Bamba,F,Tivaouane,35,légumes
527,Abdoulaye Thiam,M,Saint-Louis,56,sésame
528,Adama Camara,F,Sédhiou,51,autres
529,Aminata Barry,F,Mbour,40,autres
530,Moussa Diop,M,Tambacounda,47,autres
531,Mamadou Diop Senghor,M,Saint-Louis,60,légumes
532,Bineta Thiam,F,Tambacounda,64,mil
533,Lamine Diop,M,Ziguinchor,44,riz
534,Lamine Diakhate,M,Fatick,25,coton
535,Maty Kane,F,Thiès,26,haricot
536,Sidy Bamba,M,Matam,28,mil
537,Rokhaya Diouf,F,Louga,38,arachide
538,Abdoulaye Sy,M,Kaolack,37,riz
539,Aissatou Fofana,F,Sédhiou,34,sésame
540,Babacar Gassama,M,Saint-Louis,47,légumes
541,Mamadou Diallo,M,Saint-Louis,41,légumes
542,Cheikh Dieng,M,Kaolack,24,autres
543,Mariama Sall,F,Matam,20,manioc
544,Coumba Sow,F,Saint-Louis,27,arachide
545,Mamadou Lamine Diouf,M,Tambacounda,33,patate douce
546,Coumba Kouyaté,F,Saint-Louis,52,haricot
547,Mamadou Ndiaye Fall,M,Kolda,38,autres
548,Maty Senghor,F,Kolda,35,mil
549,Mariama Sarr,F,Louga,35,légumes
550,Khady Dieng,F,Kaolack,50,mil
